Date (mm/dd/yyyy),Day of Week,Sleep Duration (minutes),Step Count,Time spent on homework (minutes),Screen Time (minutes),Exercise duration (minutes),Caffeine Intake (mg)
01/26/2026,Monday,437,"13,855",125,252,157,64
01/27/2026,Tuesday,402,"17,944",125,228,145,120
01/28/2026,Wednesday ,471,"13,552",75,251,150,64
01/29/2026,Thursday,388,"22,378",195,275,181,110
01/30/2026,Friday,463,"10,985",88,250,86,80
02/02/2026,Monday,474,"18,900",180,202,108,108
02/03/2026,Tuesday,362,"12,976",150,190,150,85
02/04/2026,Wednesday ,496,"11,629",55,250,145,85
02/05/2026,Thursday,470,"7,782",60,270,133,85
02/06/2026,Friday,428,"7,910",65,183,113,108
02/09/2026,Monday,440,"13,533",85,375,145,85
02/10/2026,Tuesday,382,"21,263",102,209,167,90
02/11/2026,Wednesday ,419,"13,487",60,250,145,85
02/12/2026,Thursday,275,"15,200",150,168,145,108
02/13/2026,Friday,405,"6,709",35,246,96,225
02/16/2026,Monday,647,"8,161",118,272,43,85
02/17/2026,Tuesday,387,"17,614",80,312,178,85
02/18/2026,Wednesday ,308,"14,516",45,236,164,108
02/19/2026,Thursday,442,"20,104",70,344,152,85
02/20/2026,Friday,299,"9,809",35,187,90,280
02/23/2026,Monday,502,"19,478",125,362,148,105
02/24/2026,Tuesday,372,"13,389",70,304,125,85
02/25/2026,Wednesday ,538,"17,399",55,168,135,85
02/26/2026,Thursday,430,"25,164",90,223,150,108
02/27/2026,Friday,358,"19,551",55,252,67,85
03/02/2026,Monday,410,"14,833",150,301,135,200
03/03/2026,Tuesday,427,"18,524",180,263,158,200
03/04/2026,Wednesday ,419,"15,300",55,262,121,108
03/05/2026,Thursday,378,"22,991",130,230,180,236
03/06/2026,Friday,438,"19,585",125,278,85,90
03/09/2026,Monday,477,"19,930",90,318,65,108
03/10/2026,Tuesday,523,"16,283",130,235,75,200
03/11/2026,Wednesday ,455,"11,894",110,237,110,150
